head_k,query_id,query_text,tau_method,head_mean,tail_mean,tail_std,tail_to_head_ratio,tail_cv,tail_decay_rate,n_tail_items,total_items
5,49,SQL injection in login endpoint,taumode (τ=0.42),0.908382,0.898831,0.002329,0.989485,0.002591,0.000406,20,25
5,50,command injection in router web administration interface,Cosine (τ=1.0),0.815456,0.804214,0.003929,0.986214,0.004885,0.000580,20,25
5,50,command injection in router web administration interface,hybrid (τ=0.72),0.834139,0.824904,0.002366,0.988929,0.002868,0.000441,20,25
5,50,command injection in router web administration interface,taumode (τ=0.42),0.895877,0.886877,0.003081,0.989955,0.003474,0.000480,20,25
10,1,integer overflow leading to heap corruption in video codec,Cosine (τ=1.0),0.865610,0.853845,0.001759,0.986409,0.002060,0.000353,15,25
10,1,integer overflow leading to heap corruption in video codec,hybrid (τ=0.72),0.902088,0.894237,0.001135,0.991296,0.001269,0.000270,15,25
10,1,integer overflow leading to heap corruption in video codec,taumode (τ=0.42),0.942853,0.938275,0.000662,0.995145,0.000705,0.000159,15,25
10,2,symlink attack in installer cleanup routine,Cosine (τ=1.0),0.832994,0.822066,0.003170,0.986882,0.003856,0.000600,15,25
10,2,symlink attack in installer cleanup routine,hybrid (τ=0.72),0.878691,0.871149,0.001806,0.991416,0.002073,0.000409,15,25
10,2,symlink attack in installer cleanup routine,taumode (τ=0.42),0.929146,0.924648,0.001077,0.995159,0.001164,0.000239,15,25
10,3,privilege escalation via writable system service configuration,Cosine (τ=1.0),0.793020,0.781376,0.002601,0.985317,0.003329,0.000561,15,25
10,3,privilege escalation via writable system service configuration,hybrid (τ=0.72),0.825719,0.812814,0.002015,0.984372,0.002478,0.000457,15,25
10,3,privilege escalation via writable system service configuration,taumode (τ=0.42),0.889234,0.882710,0.001378,0.992663,0.001561,0.000290,15,25
10,4,memory disclosure via uninitialized stack buffer,Cosine (τ=1.0),0.824637,0.817684,0.001400,0.991568,0.001712,0.000296,15,25
10,4,memory disclosure via uninitialized stack buffer,hybrid (τ=0.72),0.839732,0.827453,0.002273,0.985378,0.002747,0.000443,15,25
10,4,memory disclosure via uninitialized stack buffer,taumode (τ=0.42),0.902449,0.890230,0.002106,0.986461,0.002366,0.000476,15,25
10,5,buffer underflow in font parsing component,Cosine (τ=1.0),0.820389,0.813322,0.001956,0.991386,0.002405,0.000448,15,25
10,5,buffer underflow in font parsing component,hybrid (τ=0.72),0.856584,0.845618,0.001838,0.987197,0.002173,0.000374,15,25
10,5,buffer underflow in font parsing component,taumode (τ=0.42),0.910598,0.906006,0.001332,0.994957,0.001470,0.000267,15,25
10,6,out-of-bounds read in PDF rendering engine,Cosine (τ=1.0),0.806805,0.796876,0.001623,0.987694,0.002037,0.000386,15,25
10,6,out-of-bounds read in PDF rendering engine,hybrid (τ=0.72),0.860880,0.853375,0.001380,0.991281,0.001617,0.000326,15,25
10,6,out-of-bounds read in PDF rendering engine,taumode (τ=0.42),0.918818,0.914425,0.000806,0.995219,0.000881,0.000191,15,25
10,7,LDAP injection in enterprise directory search feature,Cosine (τ=1.0),0.758050,0.743644,0.001426,0.980996,0.001918,0.000317,15,25
10,7,LDAP injection in enterprise directory search feature,hybrid (τ=0.72),0.824863,0.813366,0.001450,0.986063,0.001783,0.000294,15,25
10,7,LDAP injection in enterprise directory search feature,taumode (τ=0.42),0.897750,0.891042,0.000848,0.992528,0.000952,0.000170,15,25
10,8,local privilege escalation via race condition in kernel,Cosine (τ=1.0),0.885265,0.878123,0.001234,0.991933,0.001405,0.000244,15,25
10,8,local privilege escalation via race condition in kernel,hybrid (τ=0.72),0.894925,0.889040,0.001419,0.993424,0.001596,0.000347,15,25
10,8,local privilege escalation via race condition in kernel,taumode (τ=0.42),0.935045,0.929839,0.001074,0.994432,0.001155,0.000208,15,25
10,9,host header injection in password reset workflow,Cosine (τ=1.0),0.820080,0.811950,0.001283,0.990087,0.001580,0.000283,15,25
10,9,host header injection in password reset workflow,hybrid (τ=0.72),0.869103,0.863137,0.001112,0.993136,0.001288,0.000265,15,25
10,9,host header injection in password reset workflow,taumode (τ=0.42),0.923589,0.920080,0.000661,0.996201,0.000719,0.000152,15,25
10,10,insecure direct object reference IDOR in invoice download,Cosine (τ=1.0),0.848467,0.839151,0.001082,0.989020,0.001290,0.000235,15,25
10,10,insecure direct object reference IDOR in invoice download,hybrid (τ=0.72),0.865906,0.854077,0.002040,0.986339,0.002389,0.000455,15,25
10,10,insecure direct object reference IDOR in invoice download,taumode (τ=0.42),0.915727,0.907713,0.001227,0.991249,0.001351,0.000257,15,25
10,11,sensitive information disclosure in cloud metadata service,Cosine (τ=1.0),0.862631,0.856334,0.001079,0.992700,0.001260,0.000246,15,25
10,11,sensitive information disclosure in cloud metadata service,hybrid (τ=0.72),0.833351,0.811469,0.006321,0.973742,0.007790,0.001280,15,25
10,11,sensitive information disclosure in cloud metadata service,taumode (τ=0.42),0.883358,0.852027,0.003544,0.964532,0.004160,0.000778,15,25
10,12,unsafe deserialization in Java RMI service,Cosine (τ=1.0),0.773918,0.767001,0.001063,0.991062,0.001386,0.000216,15,25
10,12,unsafe deserialization in Java RMI service,hybrid (τ=0.72),0.821660,0.814118,0.001430,0.990822,0.001757,0.000321,15,25
10,12,unsafe deserialization in Java RMI service,taumode (τ=0.42),0.891778,0.886676,0.000730,0.994278,0.000823,0.000167,15,25
10,13,improper certificate validation in mobile banking application,Cosine (τ=1.0),0.861337,0.850783,0.001530,0.987747,0.001798,0.000344,15,25
10,13,improper certificate validation in mobile banking application,hybrid (τ=0.72),0.866156,0.855603,0.002923,0.987816,0.003417,0.000619,15,25
10,13,improper certificate validation in mobile banking application,taumode (τ=0.42),0.914183,0.907988,0.002271,0.993223,0.002502,0.000451,15,25
10,14,race condition in temporary file creation,Cosine (τ=1.0),0.782639,0.774808,0.001296,0.989994,0.001673,0.000322,15,25
10,14,race condition in temporary file creation,hybrid (τ=0.72),0.840827,0.836071,0.001340,0.994344,0.001603,0.000254,15,25
10,14,race condition in temporary file creation,taumode (τ=0.42),0.906903,0.904060,0.000803,0.996866,0.000888,0.000151,15,25
10,15,path canonicalization bypass in file download servlet,Cosine (τ=1.0),0.838378,0.828130,0.002213,0.987776,0.002672,0.000485,15,25
10,15,path canonicalization bypass in file download servlet,hybrid (τ=0.72),0.881334,0.871724,0.002035,0.989096,0.002335,0.000402,15,25
10,15,path canonicalization bypass in file download servlet,taumode (τ=0.42),0.930663,0.924863,0.001212,0.993768,0.001311,0.000238,15,25
10,16,sandbox escape in browser extension messaging interface,Cosine (τ=1.0),0.841408,0.834068,0.001873,0.991277,0.002245,0.000376,15,25
10,16,sandbox escape in browser extension messaging interface,hybrid (τ=0.72),0.864162,0.854643,0.001651,0.988985,0.001931,0.000364,15,25
10,16,sandbox escape in browser extension messaging interface,taumode (τ=0.42),0.912345,0.906182,0.000878,0.993245,0.000969,0.000189,15,25
10,17,prototype pollution in Node.js configuration merge utility,Cosine (τ=1.0),0.867233,0.861601,0.001114,0.993506,0.001293,0.000269,15,25
10,17,prototype pollution in Node.js configuration merge utility,hybrid (τ=0.72),0.904368,0.900040,0.000756,0.995214,0.000840,0.000163,15,25
10,17,prototype pollution in Node.js configuration merge utility,taumode (τ=0.42),0.944156,0.941623,0.000457,0.997317,0.000485,0.000098,15,25
10,18,request smuggling in reverse proxy parser,Cosine (τ=1.0),0.849283,0.841810,0.001526,0.991201,0.001813,0.000352,15,25
10,18,request smuggling in reverse proxy parser,hybrid (τ=0.72),0.891440,0.886046,0.001112,0.993948,0.001255,0.000259,15,25
10,18,request smuggling in reverse proxy parser,taumode (τ=0.42),0.936609,0.933446,0.000664,0.996622,0.000712,0.000154,15,25
10,19,insecure default permissions in container runtime socket,Cosine (τ=1.0),0.843144,0.836949,0.001071,0.992652,0.001279,0.000250,15,25
10,19,insecure default permissions in container runtime socket,hybrid (τ=0.72),0.886040,0.882016,0.000598,0.995459,0.000678,0.000154,15,25
10,19,insecure default permissions in container runtime socket,taumode (τ=0.42),0.933449,0.931085,0.000350,0.997467,0.000376,0.000083,15,25
10,20,heap use-after-free in media streaming server,Cosine (τ=1.0),0.867269,0.859269,0.001425,0.990775,0.001658,0.000305,15,25
10,20,heap use-after-free in media streaming server,hybrid (τ=0.72),0.883698,0.875212,0.001539,0.990397,0.001759,0.000348,15,25
10,20,heap use-after-free in media streaming server,taumode (τ=0.42),0.928207,0.922624,0.001562,0.993985,0.001693,0.000339,15,25
10,21,business logic bypass in coupon redemption API,Cosine (τ=1.0),0.841075,0.829843,0.002745,0.986646,0.003308,0.000529,15,25
10,21,business logic bypass in coupon redemption API,hybrid (τ=0.72),0.884820,0.876500,0.001696,0.990597,0.001935,0.000348,15,25
10,21,business logic bypass in coupon redemption API,taumode (τ=0.42),0.932708,0.927852,0.000984,0.994794,0.001060,0.000204,15,25
10,22,heap buffer overflow in image processing library,Cosine (τ=1.0),0.822415,0.814169,0.001498,0.989974,0.001840,0.000338,15,25
10,22,heap buffer overflow in image processing library,hybrid (τ=0.72),0.840546,0.832882,0.001957,0.990882,0.002349,0.000457,15,25
10,22,heap buffer overflow in image processing library,taumode (τ=0.42),0.902195,0.897347,0.001454,0.994627,0.001621,0.000326,15,25
10,23,double free vulnerability in archive extraction library,Cosine (τ=1.0),0.834778,0.827416,0.001677,0.991182,0.002026,0.000374,15,25
10,23,double free vulnerability in archive extraction library,hybrid (τ=0.72),0.878803,0.873121,0.001576,0.993534,0.001805,0.000324,15,25
10,23,double free vulnerability in archive extraction library,taumode (τ=0.42),0.929162,0.925668,0.000775,0.996240,0.000837,0.000168,15,25
10,24,improper signature verification in software update channel,Cosine (τ=1.0),0.861566,0.856642,0.001203,0.994284,0.001405,0.000249,15,25
10,24,improper signature verification in software update channel,hybrid (τ=0.72),0.883348,0.872981,0.002640,0.988264,0.003024,0.000580,15,25
10,24,improper signature verification in software update channel,taumode (τ=0.42),0.926759,0.919102,0.001188,0.991738,0.001292,0.000225,15,25
